time_minutes,discharge_m3s,reservoir_level_m
0.0,150.0,497.0
1.0,150.02,497.001
2.0,150.1,497.001
3.0,150.28,497.002
4.0,150.57,497.002
5.0,150.99,497.003
6.0,151.57,497.003
7.0,152.31,497.004
8.0,153.22,497.005
9.0,154.32,497.005
10.0,155.63,497.006
11.0,157.14,497.006
12.0,158.87,497.007
13.0,160.84,497.007
14.0,163.04,497.008
15.0,165.5,497.009
16.0,168.21,497.009
17.0,171.19,497.01
18.0,174.45,497.01
19.0,177.99,497.011
20.0,181.82,497.011
21.0,185.94,497.012
22.0,190.38,497.013
23.0,195.12,497.013
24.0,200.19,497.014
25.0,205.58,497.014
26.0,211.3,497.015
27.0,217.37,497.015
28.0,223.78,497.016
29.0,230.54,497.016
30.0,237.66,497.017
31.0,245.15,497.018
32.0,253.01,497.018
33.0,261.24,497.019
34.0,269.86,497.019
35.0,278.86,497.02
36.0,288.26,497.02
37.0,298.06,497.021
38.0,308.26,497.021
39.0,318.87,497.022
40.0,329.9,497.022
41.0,341.35,497.023
42.0,353.22,497.023
43.0,365.53,497.024
44.0,378.27,497.024
45.0,391.45,497.025
46.0,405.07,497.025
47.0,419.15,497.026
48.0,433.68,497.026
49.0,448.68,497.027
50.0,464.13,497.027
51.0,480.06,497.027
52.0,496.46,497.028
53.0,513.34,497.028
54.0,530.7,497.029
55.0,548.55,497.029
56.0,566.89,497.029
57.0,585.72,497.03
58.0,605.05,497.03
59.0,624.89,497.031
60.0,645.24,497.031
61.0,666.1,497.031
62.0,687.47,497.032
63.0,709.37,497.032
64.0,731.79,497.032
65.0,754.74,497.033
66.0,778.22,497.033
67.0,802.23,497.033
68.0,826.79,497.034
69.0,851.89,497.034
70.0,877.54,497.034
71.0,903.74,497.034
72.0,930.49,497.035
73.0,957.8,497.035
74.0,985.68,497.035
75.0,1014.12,497.035
76.0,1043.12,497.036
77.0,1072.71,497.036
78.0,1102.86,497.036
79.0,1133.6,497.036
80.0,1164.92,497.036
81.0,1196.83,497.036
82.0,1229.32,497.037
83.0,1262.41,497.037
84.0,1296.09,497.037
85.0,1330.38,497.037
86.0,1365.26,497.037
87.0,1400.76,497.037
88.0,1436.86,497.037
89.0,1473.57,497.037
90.0,1510.9,497.037
91.0,1548.84,497.037
92.0,1587.41,497.037
93.0,1626.6,497.037
94.0,1666.42,497.037
95.0,1706.87,497.037
96.0,1747.95,497.037
97.0,1789.67,497.037
98.0,1832.02,497.036
99.0,1875.02,497.036
100.0,1918.66,497.036
101.0,1962.95,497.036
102.0,2007.89,497.036
103.0,2053.48,497.036
104.0,2099.72,497.035
105.0,2146.62,497.035
106.0,2194.18,497.035
107.0,2242.41,497.034
108.0,2291.3,497.034
109.0,2340.86,497.034
110.0,2391.09,497.033
111.0,2441.99,497.033
112.0,2493.56,497.033
113.0,2545.82,497.032
114.0,2598.75,497.032
115.0,2652.37,497.031
116.0,2706.67,497.031
117.0,2761.66,497.03
118.0,2817.34,497.03
119.0,2873.71,497.029
120.0,2930.77,497.028
121.0,2988.53,497.028
122.0,3046.99,497.027
123.0,3106.15,497.027
124.0,3166.01,497.026
125.0,3226.57,497.025
126.0,3287.85,497.024
127.0,3349.83,497.024
128.0,3412.52,497.023
129.0,3475.92,497.022
130.0,3540.04,497.021
131.0,3604.88,497.02
132.0,3670.43,497.019
133.0,3736.7,497.018
134.0,3803.7,497.017
135.0,3871.42,497.016
136.0,3939.87,497.015
137.0,4009.04,497.014
138.0,4078.95,497.013
139.0,4149.58,497.012
140.0,4220.95,497.011
141.0,4293.05,497.01
142.0,4365.89,497.009
143.0,4439.47,497.007
144.0,4513.78,497.006
145.0,4588.84,497.005
146.0,4664.64,497.003
147.0,4741.18,497.002
148.0,4818.47,497.001
149.0,4896.51,496.999
150.0,4975.3,496.998
151.0,5054.83,496.996
152.0,5135.12,496.995
153.0,5216.16,496.993
154.0,5297.95,496.992
155.0,5380.5,496.99
156.0,5463.81,496.988
157.0,5547.87,496.987
158.0,5632.69,496.985
159.0,5718.28,496.983
160.0,5804.62,496.981
161.0,5891.73,496.979
162.0,5979.6,496.977
163.0,6068.24,496.975
164.0,6157.64,496.974
165.0,6247.81,496.971
166.0,6338.75,496.969
167.0,6430.46,496.967
168.0,6522.94,496.965
169.0,6616.19,496.963
170.0,6710.21,496.961
171.0,6805.01,496.959
172.0,6900.57,496.956
173.0,6996.92,496.954
174.0,7094.04,496.952
175.0,7191.93,496.949
176.0,7290.61,496.947
177.0,7390.06,496.944
178.0,7490.29,496.942
179.0,7591.3,496.939
180.0,7693.09,496.936
181.0,7795.66,496.934
182.0,7899.01,496.931
183.0,8003.15,496.928
184.0,8108.06,496.926
185.0,8213.76,496.923
186.0,8320.25,496.92
187.0,8427.52,496.917
188.0,8535.57,496.914
189.0,8644.41,496.911
190.0,8754.03,496.908
191.0,8864.44,496.905
192.0,8975.64,496.901
193.0,9087.62,496.898
194.0,9200.39,496.895
195.0,9313.95,496.892
196.0,9428.29,496.888
197.0,9543.43,496.885
198.0,9659.35,496.881
199.0,9776.06,496.878
200.0,9893.55,496.874
201.0,10011.84,496.871
202.0,10130.91,496.867
203.0,10250.78,496.863
204.0,10371.43,496.859
205.0,10492.87,496.856
206.0,10615.1,496.852
207.0,10738.12,496.848
208.0,10861.93,496.844
209.0,10986.53,496.84
210.0,11111.91,496.836
211.0,11238.08,496.831
212.0,11365.05,496.827
213.0,11492.8,496.823
214.0,11621.34,496.819
215.0,11750.66,496.814
216.0,11880.78,496.81
217.0,12011.68,496.805
218.0,12143.37,496.801
219.0,12275.84,496.796
220.0,12409.1,496.792
221.0,12543.15,496.787
222.0,12677.98,496.782
223.0,12813.6,496.777
224.0,12950.01,496.772
225.0,13087.19,496.767
226.0,13225.16,496.762
227.0,13363.92,496.757
228.0,13503.45,496.752
229.0,13643.77,496.747
230.0,13784.87,496.742
231.0,13926.75,496.736
232.0,14069.41,496.731
233.0,14212.85,496.726
234.0,14357.07,496.72
235.0,14502.07,496.715
236.0,14647.84,496.709
237.0,14794.39,496.703
238.0,14941.72,496.697
239.0,15089.82,496.692
240.0,15238.69,496.686
241.0,15388.34,496.68
242.0,15538.76,496.674
243.0,15689.95,496.668
244.0,15841.91,496.662
245.0,15994.63,496.655
246.0,16148.13,496.649
247.0,16302.4,496.643
248.0,16457.43,496.636
249.0,16613.22,496.63
250.0,16769.78,496.623
251.0,16927.1,496.617
252.0,17085.18,496.61
253.0,17244.02,496.603
254.0,17403.62,496.596
255.0,17563.98,496.589
256.0,17725.1,496.582
257.0,17886.97,496.575
258.0,18049.59,496.568
259.0,18212.96,496.561
260.0,18377.09,496.554
261.0,18541.97,496.546
262.0,18707.59,496.539
263.0,18873.96,496.531
264.0,19041.08,496.524
265.0,19208.93,496.516
266.0,19377.53,496.509
267.0,19546.87,496.501
268.0,19716.95,496.493
269.0,19887.77,496.485
270.0,20059.32,496.477
271.0,20231.61,496.469
272.0,20404.62,496.461
273.0,20578.37,496.453
274.0,20752.85,496.444
275.0,20928.05,496.436
276.0,21103.98,496.427
277.0,21280.63,496.419
278.0,21458.0,496.41
279.0,21636.09,496.401
280.0,21814.9,496.393
281.0,21994.43,496.384
282.0,22174.66,496.375
283.0,22355.61,496.366
284.0,22537.27,496.357
285.0,22719.64,496.348
286.0,22902.71,496.338
287.0,23086.48,496.329
288.0,23270.96,496.319
289.0,23456.13,496.31
290.0,23642.0,496.3
291.0,23828.57,496.291
292.0,24015.82,496.281
293.0,24203.77,496.271
294.0,24392.41,496.261
295.0,24581.73,496.251
296.0,24771.73,496.241
297.0,24962.42,496.231
298.0,25153.78,496.22
299.0,25345.82,496.21
300.0,25538.53,496.2
301.0,25731.92,496.189
302.0,25925.97,496.178
303.0,26120.69,496.168
304.0,26316.07,496.157
305.0,26512.12,496.146
306.0,26708.82,496.135
307.0,26906.17,496.124
308.0,27104.18,496.113
309.0,27302.85,496.102
